GMC,Cl,SO4,Na,K,Ca,Mg,d34S,D33S,Area (km2),% Arch I,% Arch M,% Arch S,% Arch V,% Pro I,% Pro S
1,358.7,30.3,307.6,29.6,360.7,189.7,7.53,-0.17,7705.0,NaN,NaN,NaN,NaN,NaN,NaN
2,1402.9,64.8,1011.8,48.7,792.2,449.5,11.225,0.03,150.1,0.343959,0.284005,0.055015,0.204217,0.000000,0.11
3,1339.0,75.5,978.1,43.4,893.0,456.6,11.395,0.01,43.2,0.716266,0.000000,0.000000,0.170187,0.000000,0.11
4,144.2,27.8,163.9,20,245.4,134.7,6.35,0.14,603.0,0.309784,0.556116,0.006207,0.103205,0.000000,0.02
5,64.9,22.5,95.6,24.6,169.9,96.4,5.45,0.05,358.4,0.361930,0.504644,0.000000,0.000000,0.000000,0.13
6,32.1,20.6,81.4,19.4,668.2,501.4,6.26,0.05,603.2,0.140964,0.089164,0.112722,0.000000,0.132357,0.52
7,842.3,62.1,887.9,24.4,495.4,244.7,9.405,-0.03,2709.4,0.106965,0.050620,0.111172,0.025112,0.474815,0.23
8,406.8,19.9,415.5,19.8,667.9,222.2,6.51,0.01,25589.4,NaN,NaN,NaN,NaN,NaN,NaN
9,13.0,12.6,60.2,12.8,196.4,77.0,4.35,0.03,39.6,0.000000,0.000000,0.000000,0.000000,1.000000,0.00
10,190.6,12.0,191.7,23.7,587.1,159.5,6.335,-0.03,484.6,0.000000,0.602343,0.332281,0.065376,0.000000,0.00
12,64.7,12.7,82.2,49.4,649.4,214.3,7.195,-0.08,1690.3,0.201499,0.586339,0.152549,0.059613,0.000000,0.00
13,65,31.4,94.5,40.2,1043.6,468,6.72,-0.12,176.6,0.216971,0.783029,0.000000,0.000000,0.000000,0.00
15,220.2,14.1,203.4,25.9,506.1,195.8,5.9025,-0.04,1034.3,0.674897,0.325103,0.000000,0.000000,0.000000,0.00
16,17.1,13.9,56.4,17.3,677.3,288.8,5.19,0.00,10363.6,0.695101,0.166224,0.000000,0.138675,0.000000,0.00
17,59.1,11,91.8,25.5,496,199.4,4.665,0.03,1337.2,0.369321,0.579166,0.000000,0.051513,0.000000,0.00
18,173.9,36.5,183.8,42.2,913.8,327.0,4.205,0.01,3372.8,0.963093,0.001197,0.000000,0.035680,0.000030,0.00
20,43.3,10.2,85.9,18.1,549.6,207.7,4.01,-0.05,126.1,1.000000,0.000000,0.000000,0.000000,0.000000,0.00
21,104.6,48.0,136.2,18.7,484.2,185.5,6.225,0.00,9041.5,0.553744,0.037341,0.028419,0.364095,0.000000,0.02
22,40,13.8,82.2,19.2,262.5,101.3,4.62,0.13,598.0,0.000000,0.143466,0.000000,0.856534,0.000000,0.00
23,79.9,162.2,142.7,21.0,689.0,243.3,3.805,-0.05,3300.6,0.164919,0.071862,0.037252,0.699398,0.000000,0.03
24,158.9,20.7,258.5,31.8,650.9,288.9,6.5375,0.07,531.7,0.061916,0.096267,0.020406,0.821411,0.000000,0.00
25,52.9,153,119.6,22,665.4,233.8,3.965,-0.06,2327.7,0.132651,0.072288,0.045708,0.711572,0.000000,0.04
26,58.1,30.7,93.9,16.1,341.1,133.5,6.72,0.10,6335.1,0.642750,0.005893,0.040765,0.287066,0.000000,0.02
27,29.1,16.4,69.7,18.5,309.3,116.8,5.345,-0.18,87.9,0.400562,0.000000,0.000000,0.599438,0.000000,0.00
28,69.9,21.8,107.9,12.5,374.2,137.3,6.05,-0.07,3680.5,0.339688,0.000000,0.004235,0.656077,0.000000,0.00
29,118.9,19.8,144.7,38.9,397.2,135.5,6.815,0.05,139.9,0.865731,0.134269,0.000000,0.000000,0.000000,0.00
30,154.0,28.6,173.0,32.4,347.4,110.9,6.75,0.02,296.1,1.000000,0.000000,0.000000,0.000000,0.000000,0.00
31,205.6,508.4,983.3,44,424.5,137.7,2.715,0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,73.8,22.5,104.0,21.7,362.4,109.4,6.405,0.07,123.1,1.000000,0.000000,0.000000,0.000000,0.000000,0.00
33,42.0,19.7,83.3,12.5,228.0,79.9,5.725,-0.05,1659.4,0.955766,0.043448,0.000000,0.000786,0.000000,0.00
34,20.6,26.6,60.9,16.4,250.1,77.8,4.985,-0.16,4227.7,0.844885,0.027194,0.000000,0.127921,0.000000,0.00
35,85.6,50.1,112.2,24.1,374.2,112.2,4.67,-0.31,1958.6,0.544079,0.056946,0.000000,0.398975,0.000000,0.00
36,169.0,19.2,198.3,34.7,589.1,203.7,5.17,0.03,245.7,0.630300,0.000000,0.000000,0.369700,0.000000,0.00
37,143.2,20.7,164.9,16.3,512.5,194.7,5.17,-0.13,1027.2,0.884696,0.000000,0.000000,0.115304,0.000000,0.00
38,68.8,125.2,106.8,16,679.1,252.8,2.91,0.13,2168.7,0.646647,0.126634,0.000000,0.226719,0.000000,0.00
39,13.2,19.8,52.8,14.8,635.1,233.7,4.68,0.05,3702.8,0.296317,0.576557,0.013232,0.111954,0.001939,0.00
40,14.2,16.1,53.7,16.7,636.3,216.0,4.825,0.04,2076.8,0.455409,0.372807,0.000000,0.106036,0.065747,0.00
41,806,42.8,829.6,17.3,530,106.9,5.97,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,13.8,21.3,40.9,19.0,446.9,144.9,4.675,0.08,1175.3,0.346132,0.540965,0.000000,0.112904,0.000000,0.00
43,12.7,22.5,44.3,14.3,117.9,44.5,4,0.09,427.6,0.524716,0.280929,0.000000,0.194355,0.000000,0.00
44,9.9,18.3,43.6,15.3,106.5,45.8,3.6425,0.05,117.7,0.000000,0.989922,0.000000,0.000000,0.006863,0.00
45,12.8,16.6,43.5,15.2,177.7,69.9,5.435,0.12,275.0,0.252746,0.740431,0.000000,0.000000,0.006823,0.00
46,42.7,15.6,76.7,13.1,335.7,158.1,6.14,0.00,463.4,0.177761,0.671085,0.000000,0.000000,0.099056,0.05
47,100.5,33.3,131.2,15.5,365.5,126.4,4.97,-0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
